Country Name,Country Code,Continent,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brunei Darussalam,BRN,Asia,55173.30976,57104.28907,59518.39356,59548.41729,61181.01045,63698.64595,65184.68981,63869.16291,62834.59907,64284.64589,66220.77222,68177.06417,70527.57584,72632.65514,73627.68062,74930.04906,79320.13121,80315.37929,79060.04859,76994.22469,78796.10065,82300.65605,87024.9382,83136.85527,81243.899,62823.11662,56889.41034,62015.43312,65679.43108,70087.0385,70685.18631,79364.09456,82893.40432,86445.66053
Bhutan,BTN,Asia,1696.845327,1718.552958,1911.888699,2092.301383,2240.972913,2420.667078,2553.954839,2690.697329,2828.690667,3022.633884,3106.579375,3318.737581,3627.209762,3888.963442,4100.233671,4431.176468,4754.266985,5599.994298,5896.159562,6314.700239,7074.581996,7734.717806,8385.919217,8488.437074,9141.577063,10024.29561,11078.92381,11649.83204,11932.85633,12864.77801,12434.67452,13423.42887,15021.72899,
Botswana,BWA,Africa,5818.58154,6280.906166,6424.769605,6512.535803,6703.650718,7135.1323,7502.058994,8076.982811,8023.905001,8734.937521,8923.469889,8965.841142,9479.194716,9937.825113,10299.53078,10908.62423,11958.7509,12741.39038,13139.72502,11119.91449,12141.48683,12976.5292,12091.68763,12880.30526,14417.01321,13518.48486,15416.58452,14817.57128,14805.29163,14889.8073,14208.27016,16663.86854,18516.19134,19383.1726
Central African Republic,CAF,Africa,634.235478,632.0742292,586.0062733,582.9261274,605.2093249,644.4241702,613.7035622,639.3347338,658.5156111,672.8923777,652.4741849,681.435593,701.3866103,660.4662333,703.4607926,715.8087374,757.692817,798.966987,814.0355296,870.4307844,902.9107644,945.5931285,1025.920939,686.2023311,673.393561,738.5564308,793.9249208,847.8639336,867.3925659,934.8155432,1003.148677,1057.194395,1112.445986,1129.980454
Canada,CAN,Americas,20229.75587,20224.68733,20626.20206,21440.04699,22632.83409,23485.64193,24050.17501,25258.86056,26319.67416,27841.35335,29362.08416,30230.84877,30963.92189,32351.5457,33927.6697,36328.37899,38119.39096,39575.47701,40376.08828,38864.0567,40098.25372,41666.83746,42291.97294,44301.05625,45758.10073,44668.09128,46470.64664,48317.38745,49982.59991,50498.97311,48590.68321,55781.69903,62041.56203,61582.34997
Central Europe and the Baltics,CEB,,7517.818474,6964.233365,6818.422354,7008.782023,7424.366403,7990.270002,8399.116054,8704.639223,9097.064392,9396.483259,10015.99257,10801.62708,11679.86791,12341.02218,13483.82814,14312.57054,15921.78154,17765.56586,19675.70772,19702.09219,20822.51716,22311.14449,23109.43293,23863.24477,24930.65664,26138.78321,27759.47523,29835.97955,32020.39119,35482.0387,35850.34879,39902.21583,45163.4349,48261.15243
Switzerland,CHE,Europe,28442.3316,28773.01394,29093.32385,29475.75005,30245.37597,30821.43705,31497.74196,32728.01142,33857.65317,34742.63186,36695.20706,37822.92751,38704.95846,38737.30793,40176.57074,41524.84887,46275.54948,50929.4927,53808.78411,52971.37328,54432.33308,57493.58106,59440.91586,61656.46617,63417.04372,65265.04573,67350.75187,68193.50549,70688.81875,73732.23533,72997.82395,81603.20731,90746.45328,92980.40188
Channel Islands,CHI,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Americas,4437.055218,4872.139688,5533.632681,6026.750096,6473.886967,7250.188762,7959.485754,8581.436492,8927.836442,8921.986048,9468.318766,9876.225078,10239.38529,10820.67162,11735.17617,12685.02796,15676.58343,16875.71456,16550.44891,16118.37675,18104.7246,20330.5246,21584.68127,22425.58942,22779.42767,22691.48662,23492.28786,24546.91242,25564.53672,25824.64653,25443.21401,29050.08079,31586.1369,33284.49473
China,CHN,Asia,981.5092026,1093.667035,1262.141127,1454.624662,1660.495121,1860.687308,2061.043701,2266.922351,2448.650943,2650.514524,2917.602155,3208.585838,3532.315658,3939.018856,4427.657138,5056.987526,5843.353091,6820.040847,7583.348896,8305.8411,9256.103882,10292.94048,11233.97277,12011.68059,12700.44402,13201.67383,13882.02805,14750.36583,16006.91312,17262.1759,17891.48029,20406.72966,22499.44267,24557.63895
Cote d'Ivoire,CIV,Africa,2756.506283,2745.163658,2698.526718,2658.175445,2640.616294,2787.623091,2952.513921,3180.58881,3242.770877,3227.929172,3203.346588,3122.074135,3007.556506,2852.229395,2952.392093,3006.344803,3116.67755,3167.190469,3311.302978,3379.445487,3578.218921,3384.930979,3508.457834,3855.865463,4345.616675,4711.492844,4862.918019,5046.047689,5327.824985,5947.924089,5978.822741,6520.73116,7234.226693,7790.85552
Cameroon,CMR,Africa,2014.365075,1944.121343,1871.041229,1712.878009,1732.059301,1769.588033,1827.630801,1892.318511,1951.735075,2014.554142,2083.49106,2164.910535,2236.248842,2340.012084,2502.676474,2567.519485,2673.826075,2786.542161,2839.404759,2848.357705,2883.163197,2957.163456,3027.17972,3204.361753,3385.476353,3459.780244,3587.616119,3726.56739,3967.521705,4195.670175,4319.218871,4741.76177,5122.644393,5380.15889
"Congo, Dem. Rep.",COD,Africa,848.1747287,776.9533134,690.1146366,592.0339873,554.0602941,546.2938259,540.2084684,510.5166827,495.992259,467.9535205,432.7526807,420.3187965,426.2028633,445.5474955,474.0152567,502.9551638,528.9236978,558.9917424,586.1752581,587.5585393,616.6206195,650.4366032,652.2973377,735.030028,829.6507769,885.1244428,942.3002777,1036.588358,1105.628847,1206.798113,1174.385868,1358.204717,1533.743878,1670.847219
"Congo, Rep.",COG,Africa,3429.726176,3531.11187,3605.534522,3551.694178,3331.87237,3443.023962,3560.046803,3525.656341,3620.300206,3482.473274,3687.686792,3769.683448,3911.056531,3910.940635,4016.906771,4306.366233,4617.089013,4268.456231,4474.345387,4827.954125,5153.25507,5204.000834,6093.016322,5868.944609,5769.148067,4746.040112,4043.700138,4476.993602,5636.425589,5766.754924,4813.315626,6323.717579,6713.963637,6932.938209
Colombia,COL,Americas,5084.136662,5253.121214,5480.393726,5797.020829,6144.241805,6475.643906,6608.062186,6829.668083,6826.340936,6521.7909,6754.297331,6912.494197,7086.090245,7398.72555,7889.387573,8413.966512,9136.577184,9892.9967,10293.77282,10357.43499,10831.74482,11694.72661,12075.48176,12756.02107,13323.16908,13289.67449,13971.33959,14334.91461,15161.31797,16091.49905,15427.59378,17587.23179,21055.66303,21548.01337
Comoros,COM,Africa,1513.612542,1443.021587,1563.93304,1612.369073,1526.425821,1580.373532,1554.684833,1610.227553,1614.284071,1635.402338,1818.246169,1864.411457,1898.222963,1938.00394,1989.846515,2069.417127,2146.334238,2178.027701,2261.913366,2301.993712,2368.117437,2464.354227,2667.26473,2819.567213,2924.831517,2935.198962,3120.160055,3325.503877,3284.443955,3294.288308,3245.399588,3426.757734,3687.625662,3854.788785
Cabo Verde,CPV,Africa,1075.585288,1102.893135,1221.178073,1324.985227,1573.092278,1790.952638,1984.247038,2192.643344,2440.650204,2695.335649,3090.853369,3177.539334,3344.162052,3501.856132,3909.826415,4256.535073,4680.584771,5472.547572,5905.071145,5791.98273,5906.184329,6189.695734,6058.777074,6040.448948,6020.243317,6285.598887,6747.311315,7204.474449,7115.537702,7702.923563,6053.270155,6753.69163,8415.157595,9086.23354
Costa Rica,CRI,Americas,4962.537625,5115.148147,5571.163454,5958.338269,6207.841612,6446.625147,6501.576463,6820.684649,7232.272837,7487.001659,7797.391995,8100.610884,8364.364843,8757.563554,9249.225705,9773.590702,10659.32554,11682.48693,12300.2877,12103.49976,12742.164,13410.35454,14241.86769,14992.42205,16132.65788,17248.7474,18898.07522,20168.22048,21144.40977,22949.52866,21716.87024,23700.29613,26181.14202,27952.47662
Caribbean small states,CSS,Americas,7150.795111,7355.638075,7506.339589,7713.173286,8088.986996,8396.581888,8808.768745,9198.35953,9491.777663,9880.295733,10345.56698,10631.92791,10930.07759,11295.52522,11865.74295,12510.30233,13398.62991,14177.50158,14471.79265,14171.33316,14423.97594,14941.36096,15199.42705,15530.48311,15861.59886,16035.00211,15876.8389,16937.53561,17525.32357,18575.09452,16860.26115,19757.12243,26327.03437,31173.8765
Cuba,CUB,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Americas,,,,,,,,,,,21891.04536,23057.26136,23479.79733,23522.27489,23791.19741,24081.15121,24590.19237,25374.14299,26098.47115,25950.39504,25956.81076,26251.3628,25105.99247,24821.79628,24347.76049,24037.64863,23649.59149,24321.74674,24623.04131,25396.99677,21797.01905,25163.99345,29523.52508,
Cayman Islands,CYM,Americas,,,,,,,,,,,,,,,,,75276.50168,77399.49902,76339.24832,69275.24783,66356.1222,66766.04322,65040.71489,64132.62527,64201.89238,64777.50037,66571.56357,69038.2457,72981.7521,74008.76464,67467.33279,76296.94068,85167.67207,
Cyprus,CYP,Asia,13339.1875,13537.27734,14749.60059,14842.13086,15724.80566,17084.48828,17313.61523,17777.41211,18758.65039,19662.75586,21291.26172,22868.80469,24013.32227,24280.91016,25945.20117,27762.90234,30015.07813,32888.51172,34829.33594,33883.25,33504.37891,33404.21875,31922.30664,30450.125,30168.91602,31920.00977,35877.10156,38411.41406,40673.72656,44685.13672,42796.03516,48466.84375,53776.30859,57100.46484
Czechia,CZE,Europe,12716.13235,11647.17077,11840.14548,12115.69939,12729.83194,13850.1491,14684.60392,14821.92101,14977.61712,15396.31178,16237.54255,17626.2634,18252.57277,19539.15101,20932.67334,22095.38785,23923.55451,26288.34526,27974.48713,27760.69496,27877.14374,29001.36804,29254.73127,30818.10816,32502.47535,33899.28657,36097.70526,38824.88792,41143.82705,44859.80056,43922.53098,48418.11579,51701.94914,53816.80339
Germany,DEU,Europe,19449.76022,20981.20646,21706.35396,21859.63445,22781.30057,23548.83413,24070.11924,24568.14289,25344.88132,26291.21108,27202.47608,28376.90409,29178.63747,29909.80872,31334.73152,31794.09601,34160.10311,36295.71843,37802.38743,36814.75473,38945.92173,42541.53109,43359.61483,44993.89275,47011.55109,47609.781,50579.68393,53071.45557,55195.84054,58251.77308,57905.17955,61939.65159,66616.02225,69338.29323
Djibouti,DJI,Africa,,,,,,,,,,,,,,,,,,,,,,,,3809.8608,4022.347168,4323.515881,4493.895141,4742.388482,5153.716539,5471.963294,5676.305934,6032.277956,6606.38768,7204.048436
Dominica,DMA,Americas,4352.663779,4582.936482,4784.508272,4999.657462,5106.030066,5370.856286,5641.81203,5871.753508,6174.629751,6306.133376,6633.891104,6798.132023,6697.823846,7244.879028,7651.904611,7932.019022,8549.150707,9334.128249,10190.42792,10132.62253,10329.55208,10521.08315,10233.8517,10447.19766,11147.70328,11277.23008,12092.76337,11435.69495,12809.71151,14451.53792,12743.86389,14472.28586,16283.16403,17598.64362
Denmark,DNK,Europe,18231.31336,19060.99092,19811.28206,20215.57992,21674.9543,22680.97684,23733.06859,24923.79606,25813.87733,26653.8239,28661.76416,29446.01436,30640.34562,30822.09288,32939.63047,34150.15946,37334.1604,39015.05934,41278.32683,40330.22271,42995.61757,44403.38484,44803.96824,46726.85414,47901.44736,49045.33919,51976.00571,55356.68078,57482.9624,60787.46336,62529.25106,69878.93481,77953.67866,76687.90284
Dominican Republic,DOM,Americas,3666.98523,3748.238567,4178.326241,4502.215548,4627.604499,4900.726484,5194.665805,5656.507735,6006.828278,6354.522056,6698.346898,6913.811248,7231.704067,7173.491962,7452.720836,8299.451614,9220.173495,10044.55488,10432.70056,10458.95548,11319.09197,11760.64189,11846.43857,12484.10743,13541.93457,14886.77901,16351.83448,17075.24595,18141.33826,19743.40045,19085.35362,21923.30194,24363.89337,25610.51187
Algeria,DZA,Africa,7559.804843,7539.72052,7670.028264,7516.643172,7449.364307,7744.586616,8066.218263,8157.278361,8539.674948,8813.539568,9225.40608,9583.355952,10120.38855,10843.16846,11473.21364,12302.95813,12863.42786,13401.5508,13764.0093,13765.639,14332.81608,14784.03312,14590.78011,14527.21232,14862.79327,13973.68827,13608.20104,13674.87413,13916.3761,14084.19953,12848.76261,14690.91623,16028.28711,17026.96167
East Asia & Pacific (excluding high income),EAP,,1458.712412,1598.762952,1776.745324,1980.061987,2199.636825,2428.838181,2656.995737,2849.073721,2870.590285,3047.391378,3311.657466,3571.612266,3869.383941,4244.452955,4698.801624,5258.695057,5936.286647,6759.504246,7398.434404,7936.136694,8737.347826,9579.146209,10417.60188,11055.90666,11618.65872,11998.93235,12586.99215,13337.25975,14425.0838,15487.94732,15792.44791,17704.2856,19590.35336,21270.77624
Early-demographic dividend,EAR,,2961.408604,3140.662588,3274.99795,3355.333982,3459.50472,3584.272005,3777.711736,3932.536073,3896.184571,3974.081403,4176.4176,4274.451799,4351.75503,4597.964537,4950.905702,5327.50938,5769.549529,6191.274181,6477.999543,6564.44935,6974.021019,7389.112792,7762.556233,7994.573402,8224.266805,8332.69328,8647.518981,9078.32659,9590.82943,9910.482751,9665.109716,10752.035,12142.24326,13095.94784
East Asia & Pacific,EAS,,3250.680952,3499.878334,3725.054583,3966.108004,4251.351808,4567.478592,4888.679227,5141.734987,5136.323807,5371.289249,5775.984676,6079.748221,6451.890257,6875.751444,7460.033888,8117.039352,8910.532295,9845.577071,10468.71036,10847.83867,11778.03479,12665.65308,13536.2274,14276.92651,14841.14106,15309.96269,15872.88049,16663.64167,17770.15763,18823.8204,19126.95322,21207.86167,23289.31713,25131.29626
Europe & Central Asia (excluding high income),ECA,,6404.698571,6225.967065,5987.219867,5898.253766,5305.100612,5376.917951,5595.574367,5947.15164,5235.744472,5253.310868,5764.408843,5980.703058,6302.749274,6738.587745,7614.503166,8387.706661,9563.151763,10627.81522,11453.821,11091.27494,12082.5812,13286.88581,14044.91912,15295.72224,15829.88142,16131.42411,16733.57756,17569.69171,18177.26067,19243.42168,19603.43754,21950.8681,24887.14175,27906.71185
Europe & Central Asia,ECS,,11940.79644,12182.13562,12185.85184,12263.17751,12461.33118,12931.58216,13376.61837,13950.76699,14236.25619,14787.72807,15927.55465,16734.38418,17537.90786,18204.77876,19329.95017,20360.07147,22542.00884,24166.77388,25814.00829,25082.9206,26145.6432,27709.27935,28476.38319,29754.23952,30488.53802,30917.51856,32328.59456,34029.18483,35730.93238,38322.89519,37780.44758,42464.96464,46899.60402,49755.6047
