"yr_built","yr_remodel","overall_cond","bed_rms","full_bth","num_stops_0.25","num_stops_0.50","total_value","lu","bldg_value","land_value","res_units","living_area","condo"
1920,NA,"A - Average",3,2,0,0,971300,"R2",706000,265300,NA,1896,0
1905,NA,"A - Average",3,1,0,0,528000,"R1",290400,237600,NA,1288,0
1920,NA,"A - Average",6,2,0,0,680100,"R2",425500,254600,NA,3480,0
1900,NA,"A - Average",7,3,0,0,1523300,"R3",1082200,441100,NA,3759,0
1890,NA,"A - Average",5,3,0,0,713000,"R3",593300,119700,NA,2400,0
1905,NA,"A - Average",4,1,0,0,341300,"R1",229800,111500,NA,2520,0
1959,2021,"G - Good",5,3,0,0,1149600,"R1",980400,169200,NA,3125,0
1900,2002,"A - Average",7,2,0,2,619200,"R1",414000,205200,NA,2241.8,0
1910,NA,"A - Average",3,1,0,0,572300,"R1",350000,222300,NA,1679.2,0
1935,NA,"A - Average",6,2,0,0,677700,"R2",463800,213900,NA,4251,0
1927,NA,"A - Average",6,2,4,8,1398900,"R2",934300,464600,NA,4198,0
1925,NA,"A - Average",4,1,0,0,633400,"R1",427200,206200,NA,1829,0
1940,1990,"A - Average",2,1,0,0,574500,"R1",316000,258500,NA,1040,0
1930,NA,"A - Average",2,1,0,0,413600,"R1",257900,155700,NA,1986.8,0
1989,NA,"A - Average",3,1,1,1,680100,"R1",474100,206000,NA,1344,0
1900,NA,"G - Good",6,4,3,6,1080600,"R2",743900,336700,NA,2500.5,0
2003,NA,"G - Good",6,3,0,0,784900,"R2",572100,212800,NA,2712,0
1920,2002,"G - Good",6,2,0,0,825400,"R2",596300,229100,NA,3200,0
1900,NA,"A - Average",6,3,0,2,1297700,"R3",986800,310900,NA,3981,0
1940,1998,"A - Average",3,2,0,0,675200,"R1",491900,183300,NA,1200,0
1958,NA,"A - Average",2,1,0,0,555900,"R1",292000,263900,NA,960,0
1908,NA,"A - Average",6,3,1,1,883500,"R3",658900,224600,NA,3803,0
1915,NA,"A - Average",6,2,0,1,699200,"R2",429500,269700,NA,3442.4,0
1931,NA,"A - Average",4,1,0,0,673300,"R1",443500,229800,NA,1798.4,0
1905,NA,"A - Average",11,3,0,0,878700,"R3",685700,193000,NA,4434,0
1910,2006,"A - Average",8,3,0,0,988600,"R3",715200,273400,NA,4020,0
1911,1990,"A - Average",4,1,0,0,675300,"R1",440800,234500,NA,1864.8,0
1890,2015,"A - Average",6,3,0,0,1889700,"R3",1433500,456200,NA,4083,0
1900,2018,"G - Good",6,3,0,0,1989400,"R3",1516700,472700,NA,3148,0
1900,2002,"A - Average",6,2,0,1,638600,"R2",436600,202000,NA,2625,0
1926,2016,"A - Average",3,1,0,0,642000,"R1",444400,197600,NA,1196,0
1910,NA,"A - Average",6,2,0,0,603200,"R2",356700,246500,NA,3150,0
1925,NA,"A - Average",9,3,0,0,992400,"R3",732400,260000,NA,4743,0
1905,NA,"A - Average",6,3,0,0,867700,"R3",604400,263300,NA,3528,0
1900,1995,"A - Average",9,3,0,0,772800,"R3",597500,175300,NA,3162,0
1900,2000,"A - Average",5,2,0,0,514700,"R1",343100,171600,NA,2135.8,0
1960,NA,"A - Average",3,1,0,0,612200,"R1",419600,192600,NA,1471,0
1950,1965,"A - Average",3,2,0,0,581800,"R1",375300,206500,NA,1372,0
1915,NA,"A - Average",5,2,0,0,670200,"R2",466000,204200,NA,2184,0
1950,2012,"A - Average",4,2,0,1,626100,"R2",395300,230800,NA,1764,0
1900,NA,"A - Average",3,1,0,0,586200,"R1",387300,198900,NA,1500,0
1973,NA,"A - Average",4,1,0,0,614500,"R1",393900,220600,NA,1400,0
1905,1998,"A - Average",11,3,0,0,746700,"R3",553400,193300,NA,4203,0
1905,NA,"A - Average",6,3,0,0,809200,"R3",618900,190300,NA,3081,0
1900,NA,"G - Good",8,3,0,0,1206900,"R3",986100,220800,NA,3597,0
1910,NA,"A - Average",4,2,0,0,649000,"R2",421000,228000,NA,2460,0
1905,2021,"A - Average",8,3,0,1,1071200,"R3",817200,254000,NA,3747,0
1910,2014,"A - Average",10,3,1,1,1237500,"R3",980700,256800,NA,4707,0
1905,NA,"A - Average",2,1,1,2,598800,"R1",434700,164100,NA,1685,0
1905,NA,"A - Average",9,3,0,0,1096800,"R3",754700,342100,NA,4653,0
1905,2001,"A - Average",9,4,0,2,1090300,"R3",796600,293700,NA,3534,0
1950,NA,"A - Average",3,1,0,0,480800,"R1",287000,193800,NA,1008,0
1900,2022,"G - Good",4,3,0,0,1046800,"R1",768900,277900,NA,1512,0
1890,NA,"A - Average",4,1,0,0,917600,"R1",668300,249300,NA,1949,0
1930,NA,"A - Average",4,2,0,0,803300,"R2",551800,251500,NA,2484,0
1910,NA,"A - Average",3,2,0,0,576700,"R1",377900,198800,NA,1615,0
1950,NA,"A - Average",3,1,0,0,453700,"R1",285600,168100,NA,1285.2,0
1900,NA,"A - Average",3,1,0,0,482200,"R1",281500,200700,NA,1856,0
1890,2006,"G - Good",4,2,0,0,513500,"R1",431500,82000,NA,1329,0
1900,2000,"A - Average",6,2,0,0,657900,"R2",361700,296200,NA,2932.8,0
1860,2018,"A - Average",5,1,0,0,654700,"R1",438200,216500,NA,2707.2,0
1886,NA,"A - Average",3,2,0,0,738400,"R2",459200,279200,NA,2540.4,0
1900,NA,"A - Average",3,2,0,0,663200,"R1",431500,231700,NA,1670.4,0
1958,NA,"A - Average",3,1,0,0,576200,"R1",366900,209300,NA,1176,0
1910,2019,"A - Average",4,2,0,0,579200,"R1",383400,195800,NA,1861.2,0
1910,NA,"G - Good",8,3,1,1,1293400,"R3",999700,293700,NA,4461,0
1915,NA,"A - Average",3,2,1,1,860000,"R2",579700,280300,NA,3364,0
1960,2020,"A - Average",5,3,0,0,948500,"R1",605500,343000,NA,2237.2,0
1988,2018,"A - Average",3,1,0,1,608900,"R1",429800,179100,NA,2054,0
1900,2022,"G - Good",9,5,1,1,638300,"R3",507300,131000,NA,3213,0
1905,NA,"A - Average",6,3,0,1,1276400,"R3",927700,348700,NA,4272,0
1935,2022,"A - Average",4,2,0,1,1137500,"R1",737500,4e+05,NA,2102,0
1904,2019,"A - Average",5,2,0,0,881800,"R2",655000,226800,NA,2760,0
1920,2015,"A - Average",4,2,0,0,581400,"R1",371400,210000,NA,1134,0
1958,2019,"A - Average",2,1,0,0,448600,"R1",287800,160800,NA,870,0
1950,NA,"A - Average",4,2,0,0,556400,"R1",347900,208500,NA,1020,0
1900,2004,"A - Average",5,2,0,0,404200,"R2",295066,109134,NA,3914.4,0
1900,NA,"A - Average",5,3,0,0,859600,"R3",678200,181400,NA,2265,0
1850,NA,"A - Average",4,1,0,0,886500,"R1",538700,347800,NA,1832,0
1925,NA,"A - Average",2,2,0,0,644000,"R1",366100,277900,NA,1201.2,0
1924,NA,"A - Average",4,2,0,0,688500,"R2",439000,249500,NA,2548,0
1950,NA,"A - Average",3,2,0,0,491400,"R1",296800,194600,NA,1008,0
1900,NA,"A - Average",4,1,0,0,420200,"R1",295500,124700,NA,2311.2,0
1920,NA,"G - Good",3,3,0,1,1892800,"R1",1488900,403900,NA,4368.4,0
2000,2001,"G - Good",6,2,0,0,726300,"R2",527500,198800,NA,2394.2,0
1989,2000,"A - Average",9,3,0,0,891800,"R3",674400,217400,NA,3762,0
1905,NA,"A - Average",6,3,0,0,727800,"R3",525100,202700,NA,3357,0
1935,NA,"A - Average",9,3,0,0,553600,"R3",380400,173200,NA,4063,0
1900,1985,"A - Average",4,3,0,0,1270800,"R2",861200,409600,NA,2440.9,0
1950,NA,"A - Average",4,2,0,3,582100,"R2",361200,220900,NA,1760,0
1920,NA,"A - Average",6,3,0,0,743200,"R3",393000,350200,NA,3549,0
1905,1999,"A - Average",8,3,0,0,828000,"R3",652000,176000,NA,3426.8,0
1920,NA,"A - Average",3,1,0,0,504500,"R1",351500,153000,NA,1248,0
1900,NA,"A - Average",6,2,0,1,679500,"R2",462700,216800,NA,2699.2,0
1910,2014,"G - Good",9,3,0,0,1354500,"R3",1088500,266000,NA,4131,0
1935,NA,"A - Average",4,1,0,0,757200,"R1",459100,298100,NA,1680,0
1890,1990,"G - Good",2,2,0,0,723000,"R2",478700,244300,NA,1616,0
1895,NA,"A - Average",4,2,0,0,670600,"R2",412600,258000,NA,3066,0
1935,NA,"A - Average",7,2,0,0,622300,"R2",447900,174400,NA,2654.8,0
1991,NA,"A - Average",3,2,0,0,763600,"R1",555300,208300,NA,1536,0
1900,NA,"A - Average",3,3,0,0,551900,"R3",413900,138000,NA,2358,0
1905,2022,"G - Good",6,3,0,0,698500,"R3",569900,128600,NA,3128,0
1923,NA,"A - Average",4,2,0,0,521100,"R1",362400,158700,NA,1460,0
1939,2003,"A - Average",4,1,0,0,521400,"R1",362100,159300,NA,1744.4,0
1950,1971,"A - Average",3,1,0,0,674000,"R1",393600,280400,NA,1315,0
1950,NA,"A - Average",2,1,0,0,349800,"R1",211900,137900,NA,1346.4,0
1885,1989,"A - Average",5,2,0,2,730200,"R2",469900,260300,NA,3236.2,0
1890,NA,"A - Average",3,3,1,2,848300,"R3",637400,210900,NA,2412,0
1890,2019,"G - Good",5,3,1,1,1248500,"R3",1025200,223300,NA,3428.8,0
1900,NA,"A - Average",3,3,3,6,1078700,"R3",679600,399100,NA,2616,0
1920,2018,"G - Good",6,1,0,0,699700,"R1",539800,159900,NA,2203,0
1920,1984,"A - Average",6,3,0,0,742700,"R2",483100,259600,NA,2940.8,0
1910,1976,"A - Average",3,2,0,0,570800,"R2",329200,241600,NA,2446,0
1855,NA,"A - Average",4,1,0,0,684900,"R1",395500,289400,NA,2057,0
1905,1962,"A - Average",4,2,0,0,428500,"R1",257100,171400,NA,1680,0
1948,2001,"G - Good",4,2,0,2,859500,"R1",645000,214500,NA,1688,0
1961,NA,"A - Average",4,1,0,0,633600,"R1",435900,197700,NA,1400,0
1910,2002,"A - Average",9,3,1,1,1491600,"R3",1186800,304800,NA,3861,0
1925,NA,"A - Average",5,2,0,0,802400,"R2",580600,221800,NA,3150.4,0
1925,NA,"G - Good",5,2,0,0,878500,"R2",643900,234600,NA,2612,0
1905,2000,"A - Average",5,1,0,0,457600,"R1",322100,135500,NA,3017.7,0
1920,NA,"F - Fair",4,1,0,0,700800,"R1",445400,255400,NA,2024,0
1926,2022,"A - Average",4,2,0,0,1154900,"R2",705200,449700,NA,2652.8,0
1890,NA,"A - Average",4,1,0,0,1156700,"R1",799900,356800,NA,2208,0
1900,NA,"A - Average",7,3,0,0,1515100,"R2",1080200,434900,NA,3240,0
1900,1990,"A - Average",4,2,0,1,603700,"R2",401800,201900,NA,1531.2,0
1920,NA,"A - Average",6,2,0,0,944500,"R2",655400,289100,NA,3380.8,0
1920,1999,"A - Average",4,2,0,0,641000,"R1",457500,183500,NA,2298,0
1925,1971,"A - Average",3,1,0,0,528400,"R1",343000,185400,NA,1152,0
1969,NA,"A - Average",4,1,0,0,621000,"R1",432000,189000,NA,1488,0
1924,NA,"A - Average",3,2,0,0,606100,"R1",425600,180500,NA,1456,0
1860,2010,"A - Average",4,2,0,0,879800,"R2",648500,231300,NA,3000,0
1917,1987,"A - Average",9,3,0,0,1291900,"R3",996500,295400,NA,3594,0
1929,2017,"A - Average",4,3,0,0,949100,"R2",687100,262000,NA,2864,0
1920,NA,"A - Average",3,1,0,0,585000,"R1",413200,171800,NA,1378,0
1922,1999,"G - Good",5,4,0,0,2254000,"R1",1771700,482300,NA,3904.2,0
1910,1974,"G - Good",7,3,0,0,1437700,"R2",976700,461000,NA,3521.6,0
1920,NA,"A - Average",8,2,0,0,1634000,"R2",1089200,544800,NA,4630.2,0
1905,NA,"A - Average",6,3,0,1,1216900,"R2",813400,403500,NA,2924,0
1925,1982,"A - Average",4,1,0,0,539500,"R1",338100,201400,NA,1944,0
1925,1960,"A - Average",4,1,0,1,623100,"R1",438100,185000,NA,1522,0
1920,NA,"A - Average",3,1,0,0,562000,"R1",363100,198900,NA,1553.8,0
1934,NA,"A - Average",2,1,0,0,541200,"R1",298000,243200,NA,1094,0
1905,2017,"A - Average",9,3,0,0,938400,"R3",697600,240800,NA,4234,0
1925,NA,"F - Fair",1,1,0,0,418800,"R1",165200,253600,NA,858,0
1970,2004,"G - Good",5,2,0,0,365300,"R1",266669,98631,NA,1430,0
1900,NA,"A - Average",6,3,0,0,771300,"R3",412200,359100,NA,3661,0
1900,NA,"A - Average",4,2,0,0,759700,"R2",510800,248900,NA,2914.2,0
1958,NA,"A - Average",6,2,0,0,442300,"R1",274600,167700,NA,1134,0
1950,2017,"G - Good",4,3,0,0,908800,"R1",732700,176100,NA,1728,0
1910,NA,"A - Average",6,3,0,0,807600,"R3",569700,237900,NA,3879,0
1905,1950,"A - Average",9,3,0,0,886500,"R3",639200,247300,NA,3288,0
1918,2003,"A - Average",4,2,0,0,871500,"R2",603400,268100,NA,1292,0
1890,2022,"G - Good",8,8,0,0,1149700,"R3",949300,200400,NA,2648.3,0
1903,NA,"A - Average",3,1,0,0,401200,"R1",242300,158900,NA,1863,0
1935,NA,"A - Average",4,3,0,0,605700,"R2",436100,169600,NA,2737.2,0
1914,NA,"A - Average",3,2,0,0,504300,"R1",318200,186100,NA,1330,0
1850,NA,"A - Average",9,2,0,0,618500,"R2",444200,174300,NA,2328,0
1905,NA,"A - Average",5,2,0,0,667200,"R2",476000,191200,NA,1788.6,0
1900,2005,"A - Average",6,2,0,0,599600,"R2",371400,228200,NA,2512,0
1920,NA,"A - Average",8,4,0,0,1437700,"R2",1085200,352500,NA,3212.8,0
1920,NA,"A - Average",3,2,0,2,1235100,"R2",590600,644500,NA,2574.6,0
1920,2014,"A - Average",8,4,0,0,1352800,"R3",1030400,322400,NA,3195,0
1920,NA,"A - Average",6,2,0,0,1075400,"R2",758500,316900,NA,3096,0
1883,2011,"E - Excellent",4,4,3,6,2653100,"R1",2090200,562900,NA,2630,0
1910,NA,"A - Average",6,3,0,0,893300,"R2",611400,281900,NA,2845.2,0
1925,2013,"A - Average",6,2,0,0,726100,"R2",476700,249400,NA,3604,0
1900,1999,"A - Average",4,2,0,0,1051200,"R2",740500,310700,NA,2250,0
1965,NA,"A - Average",3,2,3,7,884100,"R1",502800,381300,NA,1528,0
1910,NA,"A - Average",7,3,0,0,701200,"R3",377300,323900,NA,3439.8,0
1920,2004,"A - Average",3,3,0,0,784300,"R3",483800,300500,NA,2808,0
1950,2021,"A - Average",3,1,0,0,526400,"R1",307700,218700,NA,1075.2,0
1925,NA,"A - Average",3,1,0,0,629300,"R1",373300,256000,NA,1297,0
1911,2015,"A - Average",3,2,0,0,613200,"R1",373700,239500,NA,1824,0
1950,NA,"A - Average",4,2,0,0,670900,"R2",398900,272000,NA,1320,0
1936,1984,"A - Average",4,1,0,0,544800,"R1",351700,193100,NA,1656.8,0
1905,NA,"A - Average",9,3,0,0,799700,"R3",573100,226600,NA,5013,0
1910,1998,"G - Good",3,1,0,0,538000,"R1",426300,111700,NA,1126.5,0
1905,2003,"A - Average",9,3,0,0,1124000,"R3",821100,302900,NA,5703,0
1890,2016,"A - Average",6,3,1,1,1166500,"R3",921300,245200,NA,2728,0
1900,2012,"A - Average",6,2,0,0,588200,"R1",409800,178400,NA,2260.6,0
1915,2021,"A - Average",8,3,1,3,997700,"R3",773900,223800,NA,2679,0
1915,2014,"A - Average",11,3,2,3,1055400,"R3",794700,260700,NA,3183,0
1950,NA,"A - Average",4,2,1,3,620100,"R2",422200,197900,NA,1948,0
1950,NA,"A - Average",4,2,0,2,615600,"R2",412900,202700,NA,1920,0
1920,NA,"A - Average",5,1,0,0,444400,"R1",277400,167000,NA,1730.4,0
1920,2015,"A - Average",4,2,0,1,1125100,"R2",808700,316400,NA,2540,0
1905,2010,"A - Average",8,3,0,2,1469100,"R3",1139200,329900,NA,3540,0
1940,NA,"A - Average",2,1,0,0,538000,"R1",292100,245900,NA,1008,0
1960,NA,"A - Average",6,2,0,0,638000,"R2",431300,206700,NA,2030,0
1905,2011,"G - Good",6,3,0,1,1070900,"R3",821300,249600,NA,3303,0
1900,NA,"A - Average",5,3,0,0,969400,"R2",752500,216900,NA,2347,0
1910,2022,"G - Good",9,6,1,2,959800,"R3",769400,190400,NA,3076,0
1924,2022,"G - Good",8,2,1,1,1238000,"R2",947400,290600,NA,3486,0
1900,2010,"A - Average",7,2,0,2,822000,"R2",629700,192300,NA,2700,0
1955,NA,"A - Average",3,2,0,0,614100,"R1",408700,205400,NA,1192.2,0
1954,NA,"A - Average",3,1,0,0,494300,"R1",299500,194800,NA,1098,0
1920,NA,"G - Good",4,2,1,1,717300,"R2",517100,200200,NA,1860,0
1910,2016,"A - Average",7,2,0,0,863100,"R2",597800,265300,NA,3000,0
1909,1999,"G - Good",6,1,0,2,1797300,"R1",1243000,554300,NA,2786.4,0
1851,2014,"A - Average",6,3,0,0,1374200,"R3",890600,483600,NA,2692.6,0
1910,NA,"A - Average",3,1,0,0,366300,"R1",217000,149300,NA,1374,0
1850,1950,"A - Average",2,1,0,0,484400,"R1",303200,181200,NA,1187.6,0
1944,2009,"A - Average",3,1,0,0,600500,"R1",432800,167700,NA,1232,0
1947,NA,"A - Average",3,1,0,0,532300,"R1",358800,173500,NA,1275,0
1955,NA,"A - Average",4,2,0,0,740600,"R2",480000,260600,NA,1203,0
1960,NA,"A - Average",3,1,0,0,627100,"R1",455000,172100,NA,1325,0
1920,NA,"A - Average",6,2,0,0,732200,"R2",516000,216200,NA,3234,0
1900,2015,"G - Good",6,4,0,0,963700,"R2",753700,210000,NA,3457.5,0
1970,NA,"A - Average",3,1,0,0,558200,"R1",399700,158500,NA,1484,0
1905,2013,"G - Good",6,3,0,1,855400,"R2",636300,219100,NA,3016.2,0
1915,NA,"A - Average",6,2,0,1,472200,"R1",288200,184000,NA,2133.6,0
1920,NA,"A - Average",3,1,0,0,585900,"R1",353000,232900,NA,1316,0
1955,NA,"A - Average",3,1,0,0,567100,"R1",380400,186700,NA,1565,0
1920,1984,"A - Average",3,1,0,0,418600,"R1",246300,172300,NA,1842,0
1950,NA,"A - Average",4,2,0,0,414200,"R1",271800,142400,NA,1224,0
1905,NA,"A - Average",6,2,0,2,997100,"R1",647800,349300,NA,2059.2,0
1931,1998,"A - Average",3,1,0,0,613500,"R1",430400,183100,NA,1591.2,0
1861,NA,"A - Average",5,2,0,0,1283100,"R2",934000,349100,NA,3352.8,0
1911,1997,"A - Average",6,3,0,0,871600,"R3",648200,223400,NA,3401,0
1941,2013,"A - Average",5,2,0,0,769100,"R2",515300,253800,NA,2793.6,0
1900,2016,"A - Average",11,3,0,2,1141600,"R3",852700,288900,NA,4325.8,0
1925,1950,"A - Average",3,1,0,0,466600,"R1",290900,175700,NA,1300,0
1904,1989,"A - Average",3,1,0,0,752200,"R1",505200,247000,NA,1819,0
1900,NA,"A - Average",4,2,0,2,650400,"R2",491200,159200,NA,2166,0
1895,2007,"A - Average",3,1,0,0,668500,"R1",469300,199200,NA,1980,0
1910,NA,"A - Average",4,2,0,0,325000,"R2",213600,111400,NA,1600,0
1950,NA,"A - Average",4,2,0,0,540700,"R1",354300,186400,NA,1360,0
1900,NA,"A - Average",9,3,0,0,896400,"R3",625100,271300,NA,5188,0
1991,2011,"A - Average",3,2,0,0,377500,"R1",237300,140200,NA,1480,0
1905,NA,"A - Average",9,3,0,0,898300,"R3",656300,242000,NA,4002,0
1991,NA,"G - Good",6,2,0,0,661100,"R2",443800,217300,NA,2604,0
1896,NA,"A - Average",5,1,0,0,856800,"R1",614600,242200,NA,1824,0
1920,NA,"A - Average",5,2,0,0,1064400,"R2",779700,284700,NA,2430,0
1905,NA,"A - Average",6,3,0,0,619600,"R3",428800,190800,NA,3117,0
1900,NA,"A - Average",5,2,0,0,714000,"R1",460100,253900,NA,2150,0
1963,2023,"A - Average",3,1,0,0,570800,"R1",399900,170900,NA,1372,0
1955,NA,"A - Average",3,1,0,0,487600,"R1",319400,168200,NA,1360,0
1935,NA,"A - Average",4,2,0,0,757000,"R2",482600,274400,NA,2188,0
1905,1998,"G - Good",8,3,0,0,1651300,"R3",1241200,410100,NA,3873,0
1900,NA,"A - Average",5,2,0,0,1478200,"R2",968000,510200,NA,3048,0
1905,NA,"A - Average",6,3,1,1,1188900,"R3",861100,327800,NA,3471,0
1910,NA,"A - Average",9,3,0,1,891600,"R3",687800,203800,NA,3321,0
1910,2020,"G - Good",6,6,0,0,1424700,"R3",1424700,0,NA,2862,0
1900,NA,"A - Average",3,3,0,0,1185300,"R3",843300,342000,NA,2292,0
1905,NA,"A - Average",7,3,0,1,916800,"R3",651700,265100,NA,3996,0
1905,NA,"A - Average",9,3,0,1,1266500,"R3",976900,289600,NA,4854,0
1920,1984,"A - Average",2,2,0,0,474300,"R1",278400,195900,NA,702,0
1890,NA,"G - Good",3,1,0,0,994300,"R1",658300,336000,NA,1474,0
1900,2002,"A - Average",9,3,1,3,1231900,"R3",976900,255000,NA,3630,0
1880,2012,"A - Average",3,1,0,0,502000,"R1",313100,188900,NA,1285.2,0
1905,NA,"A - Average",9,3,0,0,1094600,"R3",754900,339700,NA,4233,0
1910,NA,"A - Average",6,2,0,1,664900,"R2",430100,234800,NA,3334.6,0
1910,2013,"G - Good",7,3,0,1,818900,"R3",665000,153900,NA,3252,0
1893,2021,"G - Good",4,3,0,0,1268500,"R1",958000,310500,NA,1916,0
1900,NA,"A - Average",3,1,0,0,800900,"R1",520600,280300,NA,2477.2,0
1910,NA,"A - Average",9,3,0,0,738400,"R3",562600,175800,NA,3591,0
1915,NA,"A - Average",4,2,0,0,455400,"R1",289100,166300,NA,2862.8,0
1900,NA,"A - Average",6,2,1,1,992900,"R2",742900,250000,NA,4816,0
1927,1980,"A - Average",6,3,0,2,1400800,"R3",986000,414800,NA,3726,0
1905,2013,"A - Average",6,6,0,0,1063800,"R3",869900,193900,NA,4695,0
1905,NA,"A - Average",9,4,0,0,955500,"R3",650400,305100,NA,5340,0
1920,NA,"A - Average",5,3,0,0,788300,"R3",461100,327200,NA,3353.6,0
2007,NA,"G - Good",4,3,1,1,620400,"R1",427700,192700,NA,1556,0
1960,2001,"A - Average",3,1,0,0,763000,"R1",515200,247800,NA,1421,0
1835,NA,"G - Good",3,1,0,0,691100,"R1",504000,187100,NA,1295,0
1962,NA,"A - Average",4,1,0,0,552000,"R1",331400,220600,NA,1107,0
1890,NA,"A - Average",5,2,0,0,293900,"R1",199800,94100,NA,1706.4,0
1960,NA,"A - Average",3,2,0,0,504900,"R1",297900,207000,NA,1289,0
1940,NA,"G - Good",4,1,0,0,653600,"R1",490200,163400,NA,1616,0
1950,NA,"A - Average",3,1,0,0,494300,"R1",292700,201600,NA,1248,0
1930,2001,"A - Average",5,2,0,0,895600,"R2",610400,285200,NA,3139.2,0
1910,NA,"A - Average",6,3,0,0,669700,"R2",406900,262800,NA,2538,0
1900,NA,"A - Average",6,2,1,2,754000,"R2",555400,198600,NA,1936,0
1915,NA,"G - Good",4,2,0,0,771300,"R1",552700,218600,NA,1654,0
1915,NA,"F - Fair",3,1,0,0,581800,"R1",272200,309600,NA,1664,0
1890,NA,"A - Average",6,2,0,0,1372100,"R2",1021000,351100,NA,3626.6,0
1905,NA,"A - Average",5,3,0,0,618500,"R3",412500,206000,NA,2832,0
1930,NA,"A - Average",4,1,0,0,364500,"R1",215900,148600,NA,1814,0
1885,NA,"A - Average",4,1,0,0,748700,"R1",502700,246000,NA,2140,0
1920,NA,"A - Average",3,1,0,2,490200,"R1",279500,210700,NA,1732.4,0
1925,1986,"A - Average",5,2,0,6,1468800,"R2",951200,517600,NA,2944.8,0
1910,NA,"A - Average",9,3,1,2,1138200,"R3",927300,210900,NA,3582,0
1920,2022,"G - Good",3,2,0,1,613200,"R1",464100,149100,NA,1346,0
1900,2013,"A - Average",5,2,0,0,638900,"R2",469900,169000,NA,2076.4,0
1945,NA,"A - Average",2,2,0,1,448200,"R1",259400,188800,NA,1275,0
1905,2021,"A - Average",9,3,0,1,985900,"R3",737300,248600,NA,3762,0
1915,1998,"A - Average",6,3,0,1,800200,"R3",569600,230600,NA,3357,0
1925,NA,"A - Average",6,2,0,1,1372300,"R2",1002400,369900,NA,5249,0
1900,2002,"A - Average",8,2,0,1,887600,"R2",637600,250000,NA,2472,0
1925,NA,"A - Average",5,2,0,0,591200,"R2",411800,179400,NA,2428,0
1925,NA,"A - Average",2,1,0,0,355200,"R1",210600,144600,NA,819,0
1915,NA,"A - Average",4,2,0,0,653300,"R1",427600,225700,NA,1679.6,0
1920,2010,"G - Good",4,2,0,0,682400,"R2",474300,208100,NA,1634,0
1910,2021,"G - Good",9,3,0,0,1387300,"R3",1046000,341300,NA,4221,0
1925,2022,"G - Good",7,2,0,0,1194300,"R2",954700,239600,NA,4074.4,0
1935,2009,"A - Average",4,2,0,1,746800,"R2",521400,225400,NA,3036,0
1890,NA,"A - Average",4,1,0,0,354700,"R1",232700,122000,NA,1662,0
1900,NA,"A - Average",4,2,0,0,608400,"R2",374800,233600,NA,3028,0
1990,NA,"G - Good",3,1,0,0,642500,"R1",443800,198700,NA,1323,0
1990,NA,"A - Average",2,1,0,0,599200,"R1",396000,203200,NA,1323,0
1900,2020,"A - Average",3,3,3,6,1003900,"R1",623400,380500,NA,2335.2,0
1933,NA,"A - Average",4,1,0,0,675500,"R1",457000,218500,NA,1924,0
1900,2021,"A - Average",5,3,1,1,778100,"R1",585900,192200,NA,1898,0
1905,NA,"A - Average",9,3,1,1,1057000,"R3",770200,286800,NA,3525,0
1925,NA,"A - Average",3,1,0,0,596900,"R1",375300,221600,NA,1248,0
1900,2018,"A - Average",4,3,0,2,734100,"R2",492700,241400,NA,2514.4,0
1905,NA,"A - Average",3,2,1,2,865900,"R2",629700,236200,NA,2542,0
1905,2022,"G - Good",6,6,1,1,1206500,"R3",960200,246300,NA,3715,0
1905,2016,"G - Good",9,3,0,1,1348100,"R3",1079900,268200,NA,3906,0
1905,NA,"A - Average",3,2,0,0,507200,"R2",288700,218500,NA,1738.8,0
1950,2016,"G - Good",3,2,0,0,718000,"R1",517100,200900,NA,1558.5,0
1935,1950,"A - Average",6,3,0,1,617000,"R3",436800,180200,NA,3492,0
1900,NA,"A - Average",11,3,1,1,1361600,"R3",1120400,241200,NA,3834,0
1900,2015,"E - Excellent",9,4,3,7,2086500,"R2",1635900,450600,NA,2799.4,0
1915,2000,"G - Good",6,2,0,0,901900,"R2",609900,292000,NA,3340,0
1950,2021,"A - Average",2,1,0,0,521900,"R1",351200,170700,NA,1075.2,0
1950,NA,"A - Average",4,1,0,0,527800,"R1",333700,194100,NA,1317.5,0
1995,NA,"A - Average",3,1,0,0,582200,"R1",345000,237200,NA,1596,0
1922,NA,"A - Average",3,2,0,0,681200,"R1",469600,211600,NA,1535.2,0
1920,NA,"A - Average",5,2,0,0,775200,"R2",513600,261600,NA,2250,0
1897,NA,"A - Average",4,2,0,0,644700,"R2",420300,224400,NA,1932,0
1950,NA,"A - Average",3,1,0,0,494700,"R1",292600,202100,NA,1317.5,0
1900,1994,"A - Average",3,2,0,0,554000,"R1",374300,179700,NA,2099,0
1875,2013,"E - Excellent",6,4,0,3,11716200,"R1",7426800,4289400,NA,9571.55,0
1880,2015,"G - Good",6,3,0,0,711200,"R2",564800,146400,NA,2602.8,0
1935,NA,"A - Average",4,1,0,0,548100,"R1",335900,212200,NA,1752,0
1916,1970,"F - Fair",3,1,0,0,430400,"R1",172900,257500,NA,1531.6,0
1912,2013,"A - Average",6,3,0,2,829200,"R3",606000,223200,NA,3450,0
1920,NA,"A - Average",4,2,0,0,584700,"R2",373800,210900,NA,2744,0
1948,NA,"A - Average",11,3,0,0,715600,"R3",512100,203500,NA,3622,0
1900,NA,"A - Average",6,3,0,0,681900,"R3",480500,201400,NA,2916.5,0
